URL,Priority,Type
https://gosolarindex.in/,Critical,Homepage
https://gosolarindex.in/solar-calculator,High,Tool
https://gosolarindex.in/subsidy-checker,High,Tool
https://gosolarindex.in/categories,Medium,Other
https://gosolarindex.in/locations,Medium,Other
https://gosolarindex.in/blog,Medium,Other
https://gosolarindex.in/about,Medium,Other
https://gosolarindex.in/contact,Medium,Other
https://gosolarindex.in/pricing,Medium,Other
https://gosolarindex.in/aurangabad,Medium,Other
https://gosolarindex.in/nagpur,Medium,Other
https://gosolarindex.in/nashik,Medium,Other
https://gosolarindex.in/mumbai,High,Top City
https://gosolarindex.in/pune,High,Top City
https://gosolarindex.in/jodhpur,Medium,Other
https://gosolarindex.in/bangalore,High,Top City
https://gosolarindex.in/udaipur,Medium,Other
https://gosolarindex.in/vadodara,Medium,Other
https://gosolarindex.in/chandigarh,Medium,Other
https://gosolarindex.in/chennai,High,Top City
https://gosolarindex.in/kochi,Medium,Other
https://gosolarindex.in/bhopal,Medium,Other
https://gosolarindex.in/jaipur,Medium,Other
https://gosolarindex.in/kolkata,Medium,Other
https://gosolarindex.in/surat,Medium,Other
https://gosolarindex.in/ahmedabad,Medium,Other
https://gosolarindex.in/visakhapatnam,Medium,Other
https://gosolarindex.in/indore,Medium,Other
https://gosolarindex.in/lucknow,Medium,Other
https://gosolarindex.in/categories/residential-installers,Medium,Category
https://gosolarindex.in/categories/commercial-installers,Medium,Category
https://gosolarindex.in/categories/solar-dealers,Medium,Category
https://gosolarindex.in/categories/inverter-specialists,Medium,Category
https://gosolarindex.in/categories/maintenance-services,Medium,Category
https://gosolarindex.in/blog/solar-energy-agriculture-pm-kusum-2026,Medium,Blog
https://gosolarindex.in/blog/solar-for-factories-warehouses-india-2026,Medium,Blog
https://gosolarindex.in/blog/commercial-solar-for-businesses-india-2026,Medium,Blog
https://gosolarindex.in/blog/karnataka-solar-bescom-net-metering-2026,Medium,Blog
https://gosolarindex.in/blog/rajasthan-solar-policy-subsidy-2026,Medium,Blog
https://gosolarindex.in/blog/maharashtra-solar-subsidy-msedcl-2026,Medium,Blog
https://gosolarindex.in/blog/gujarat-solar-subsidy-surya-yojana-2026,Medium,Blog
https://gosolarindex.in/blog/solar-amc-maintenance-guide-india-2026,Medium,Blog
https://gosolarindex.in/blog/solar-battery-buying-guide-india-2026,Medium,Blog
https://gosolarindex.in/blog/solar-rooftop-housing-society-india-2026,Medium,Blog